Doctor_Name,Speciality,Clinic_Name,Clinic_Address,Clinic_City,Clinic_State,Clinic_Pincode,Doctor_Address,Doctor_City,Doctor_State,Doctor_Pincode
Dr. Prakash Naidu,General Physician,Naidu Healthcare Clinic,"104, Layout Garden, Pune",Pune,Maharashtra,415833,"80, Nagar Gandhi, Pune",Pune,Maharashtra,411285
Dr. Rajinder Singh,Plastic Surgeon,Singh Healthcare Clinic,"247, Enclave Garden, Mumbai",Mumbai,Maharashtra,405167,"253, Road Lake, Mumbai",Mumbai,Maharashtra,402996
Dr. Teresa Rodrigues,Psychiatrist,Rodrigues Healthcare Clinic,"28, Bazaar Lake, Kolkata",Kolkata,West Bengal,708859,"17, Enclave Fort, Kolkata",Kolkata,West Bengal,702863
Dr. Gurpreet Pannu,Ophthalmologist,Pannu Healthcare Clinic,"5, Sector Model, Indore",Indore,Madhya Pradesh,456216,"298, Nagar Central, Indore",Indore,Madhya Pradesh,455924
Dr. Teresa Gomes,Plastic Surgeon,Gomes Healthcare Clinic,"122, Road Lake, Jaipur",Jaipur,Rajasthan,305621,"188, Colony Lake, Jaipur",Jaipur,Rajasthan,306945
Dr. Suresh Pillai,Urologist,Pillai Healthcare Clinic,"144, Lane Shastri, Patna",Patna,Bihar,809361,"68, Layout Gandhi, Patna",Patna,Bihar,804422
Dr. Shankar Rangan,Endocrinologist,Rangan Healthcare Clinic,"75, Colony Lake, Ahmedabad",Ahmedabad,Gujarat,380159,"91, Bazaar Lake, Ahmedabad",Ahmedabad,Gujarat,382203
Dr. Rebecca Lobo,Pulmonologist,Lobo Healthcare Clinic,"129, Sector Fort, Lucknow",Lucknow,Uttar Pradesh,221621,"354, Colony Rajiv, Lucknow",Lucknow,Uttar Pradesh,223530
Dr. Sana Shaikh,Ophthalmologist,Shaikh Healthcare Clinic,"134, Enclave Central, Indore",Indore,Madhya Pradesh,459180,"286, Road Central, Indore",Indore,Madhya Pradesh,450324
Dr. Gurpreet Brar,Physiotherapist,Brar Healthcare Clinic,"296, Colony Green, Ahmedabad",Ahmedabad,Gujarat,385818,"167, Lane Lake, Ahmedabad",Ahmedabad,Gujarat,381284
Dr. Rajinder Sidhu,Ophthalmologist,Sidhu Healthcare Clinic,"86, Enclave Fort, Kolkata",Kolkata,West Bengal,709365,"208, Nagar Gandhi, Kolkata",Kolkata,West Bengal,702654
Dr. Shabana Mirza,ENT Specialist,Mirza Healthcare Clinic,"137, Bazaar Green, Lucknow",Lucknow,Uttar Pradesh,227289,"400, Enclave Garden, Lucknow",Lucknow,Uttar Pradesh,228535
Dr. Navjot Gill,Gynecologist,Gill Healthcare Clinic,"65, Layout Green, Delhi",Delhi,Delhi,111311,"108, Colony Fort, Delhi",Delhi,Delhi,111687
Dr. Amit Chaturvedi,Plastic Surgeon,Chaturvedi Healthcare Clinic,"14, Bazaar Hill, Mumbai",Mumbai,Maharashtra,401363,"54, Road Garden, Mumbai",Mumbai,Maharashtra,402544
Dr. Rakesh Joshi,Psychiatrist,Joshi Healthcare Clinic,"146, Lane Shastri, Pune",Pune,Maharashtra,412150,"270, Colony Rajiv, Pune",Pune,Maharashtra,410575
Dr. Yusuf Chaudhary,Ophthalmologist,Chaudhary Healthcare Clinic,"281, Lane Shastri, Jaipur",Jaipur,Rajasthan,308835,"91, Lane Garden, Jaipur",Jaipur,Rajasthan,307126
Dr. Rebecca Dias,Urologist,Dias Healthcare Clinic,"277, Layout Gandhi, Coimbatore",Coimbatore,Tamil Nadu,647239,"158, Enclave Fort, Coimbatore",Coimbatore,Tamil Nadu,644256
Dr. Lakshmi Iyer,Cardiologist,Iyer Healthcare Clinic,"70, Enclave Green, Kochi",Kochi,Kerala,687687,"274, Sector Lake, Kochi",Kochi,Kerala,687816
Dr. Aamir Syed,Oncologist,Syed Healthcare Clinic,"4, Enclave Model, Pune",Pune,Maharashtra,416745,"452, Bazaar Fort, Pune",Pune,Maharashtra,414094
Dr. Suresh Rangan,Psychiatrist,Rangan Healthcare Clinic,"41, Bazaar Model, Jaipur",Jaipur,Rajasthan,308464,"392, Road Green, Jaipur",Jaipur,Rajasthan,308715
Dr. Arshad Qureshi,Orthopedic Surgeon,Qureshi Healthcare Clinic,"70, Road Gandhi, Hyderabad",Hyderabad,Telangana,507460,"317, Lane Green, Hyderabad",Hyderabad,Telangana,508060
Dr. Ramesh Iyer,Neurologist,Iyer Healthcare Clinic,"274, Sector Shastri, Mumbai",Mumbai,Maharashtra,401675,"145, Road Shastri, Mumbai",Mumbai,Maharashtra,407183
Dr. Pooja Mishra,Neurologist,Mishra Healthcare Clinic,"253, Layout Central, Delhi",Delhi,Delhi,116885,"160, Lane Central, Delhi",Delhi,Delhi,117597
Dr. Anjali Mishra,Neurologist,Mishra Healthcare Clinic,"137, Bazaar Gandhi, Mumbai",Mumbai,Maharashtra,408899,"241, Colony Model, Mumbai",Mumbai,Maharashtra,404097
Dr. Harpreet Kaur,Psychiatrist,Kaur Healthcare Clinic,"227, Layout Rajiv, Patna",Patna,Bihar,803263,"236, Nagar Hill, Patna",Patna,Bihar,803415
Dr. Navjot Sidhu,ENT Specialist,Sidhu Healthcare Clinic,"22, Nagar Green, Hyderabad",Hyderabad,Telangana,507884,"327, Road Model, Hyderabad",Hyderabad,Telangana,505905
Dr. Pooja Mishra,Psychiatrist,Mishra Healthcare Clinic,"167, Sector Shastri, Surat",Surat,Gujarat,394523,"300, Nagar Fort, Surat",Surat,Gujarat,393982
Dr. Rajesh Tiwari,Pulmonologist,Tiwari Healthcare Clinic,"191, Nagar Model, Kolkata",Kolkata,West Bengal,702583,"256, Nagar Garden, Kolkata",Kolkata,West Bengal,705544
Dr. Rajesh Pandey,Neurologist,Pandey Healthcare Clinic,"65, Lane Model, Chennai",Chennai,Tamil Nadu,605189,"286, Enclave Lake, Chennai",Chennai,Tamil Nadu,603161
Dr. Rakesh Pandey,Neurologist,Pandey Healthcare Clinic,"21, Lane Lake, Jaipur",Jaipur,Rajasthan,309159,"151, Lane Model, Jaipur",Jaipur,Rajasthan,309284
Dr. Shankar Pillai,ENT Specialist,Pillai Healthcare Clinic,"141, Colony Gandhi, Chandigarh",Chandigarh,Chandigarh,168702,"80, Lane Green, Chandigarh",Chandigarh,Chandigarh,164314
Dr. John Menezes,Cardiologist,Menezes Healthcare Clinic,"195, Colony Rajiv, Kochi",Kochi,Kerala,685965,"398, Layout Central, Kochi",Kochi,Kerala,681037
Dr. Paul Carvalho,Nephrologist,Carvalho Healthcare Clinic,"283, Colony Garden, Coimbatore",Coimbatore,Tamil Nadu,644638,"166, Bazaar Central, Coimbatore",Coimbatore,Tamil Nadu,641809
Dr. Naveen Mishra,Dermatologist,Mishra Healthcare Clinic,"92, Sector Model, Kolkata",Kolkata,West Bengal,701753,"249, Layout Gandhi, Kolkata",Kolkata,West Bengal,700521
Dr. Paul Menezes,Nephrologist,Menezes Healthcare Clinic,"26, Enclave Model, Jaipur",Jaipur,Rajasthan,309927,"368, Nagar Rajiv, Jaipur",Jaipur,Rajasthan,303419
Dr. Gurpreet Bajwa,Dermatologist,Bajwa Healthcare Clinic,"286, Bazaar Central, Bhopal",Bhopal,Madhya Pradesh,460955,"422, Road Hill, Bhopal",Bhopal,Madhya Pradesh,460666
Dr. Vikram Mishra,General Physician,Mishra Healthcare Clinic,"50, Nagar Model, Kochi",Kochi,Kerala,688710,"198, Layout Model, Kochi",Kochi,Kerala,688621
Dr. Meena Menon,Plastic Surgeon,Menon Healthcare Clinic,"55, Enclave Lake, Surat",Surat,Gujarat,396997,"453, Nagar Shastri, Surat",Surat,Gujarat,392955
Dr. Paul Pereira,ENT Specialist,Pereira Healthcare Clinic,"274, Lane Central, Hyderabad",Hyderabad,Telangana,505163,"282, Enclave Central, Hyderabad",Hyderabad,Telangana,506755
Dr. Jaspreet Chahal,Psychiatrist,Chahal Healthcare Clinic,"193, Road Central, Ahmedabad",Ahmedabad,Gujarat,387412,"230, Bazaar Rajiv, Ahmedabad",Ahmedabad,Gujarat,380567
Dr. Parveen Khan,Nephrologist,Khan Healthcare Clinic,"155, Sector Green, Kolkata",Kolkata,West Bengal,703635,"110, Enclave Rajiv, Kolkata",Kolkata,West Bengal,704521
Dr. Rebecca Pereira,Gastroenterologist,Pereira Healthcare Clinic,"49, Sector Lake, Kolkata",Kolkata,West Bengal,705827,"80, Colony Green, Kolkata",Kolkata,West Bengal,706014
Dr. Francis Carvalho,Dentist,Carvalho Healthcare Clinic,"48, Bazaar Garden, Lucknow",Lucknow,Uttar Pradesh,223562,"376, Nagar Central, Lucknow",Lucknow,Uttar Pradesh,227905
Dr. Deepa Murthy,Pediatrician,Murthy Healthcare Clinic,"20, Bazaar Gandhi, Lucknow",Lucknow,Uttar Pradesh,220916,"472, Enclave Central, Lucknow",Lucknow,Uttar Pradesh,227115
Dr. Gurpreet Sandhu,Physiotherapist,Sandhu Healthcare Clinic,"196, Sector Green, Delhi",Delhi,Delhi,118591,"22, Enclave Hill, Delhi",Delhi,Delhi,119255
Dr. Ramesh Balakrishnan,Psychiatrist,Balakrishnan Healthcare Clinic,"26, Bazaar Lake, Kolkata",Kolkata,West Bengal,709750,"295, Nagar Model, Kolkata",Kolkata,West Bengal,707076
Dr. Arshad Ansari,Neurologist,Ansari Healthcare Clinic,"43, Lane Garden, Indore",Indore,Madhya Pradesh,450807,"281, Bazaar Green, Indore",Indore,Madhya Pradesh,451393
Dr. Baljit Dhillon,Neurologist,Dhillon Healthcare Clinic,"247, Layout Lake, Kolkata",Kolkata,West Bengal,706476,"334, Layout Hill, Kolkata",Kolkata,West Bengal,708589
Dr. Prakash Nair,Dentist,Nair Healthcare Clinic,"166, Nagar Gandhi, Surat",Surat,Gujarat,396776,"217, Enclave Central, Surat",Surat,Gujarat,393120
Dr. Yusuf Dar,Cardiologist,Dar Healthcare Clinic,"87, Enclave Garden, Lucknow",Lucknow,Uttar Pradesh,227245,"320, Colony Lake, Lucknow",Lucknow,Uttar Pradesh,220735
Dr. Prakash Pillai,Neurologist,Pillai Healthcare Clinic,"58, Sector Model, Bengaluru",Bengaluru,Karnataka,562419,"445, Road Rajiv, Bengaluru",Bengaluru,Karnataka,565624
Dr. Vikram Chaturvedi,Pulmonologist,Chaturvedi Healthcare Clinic,"170, Layout Hill, Delhi",Delhi,Delhi,113471,"105, Road Hill, Delhi",Delhi,Delhi,117913
Dr. Joseph Fernandes,Endocrinologist,Fernandes Healthcare Clinic,"23, Road Shastri, Kochi",Kochi,Kerala,680984,"146, Layout Garden, Kochi",Kochi,Kerala,684444
Dr. Divya Sharma,Orthopedic Surgeon,Sharma Healthcare Clinic,"139, Enclave Gandhi, Patna",Patna,Bihar,800312,"150, Bazaar Model, Patna",Patna,Bihar,806237
Dr. Mary Lobo,Pulmonologist,Lobo Healthcare Clinic,"96, Layout Hill, Bengaluru",Bengaluru,Karnataka,567503,"288, Sector Rajiv, Bengaluru",Bengaluru,Karnataka,564053
Dr. Teresa Lobo,Pulmonologist,Lobo Healthcare Clinic,"81, Sector Central, Patna",Patna,Bihar,805765,"182, Road Model, Patna",Patna,Bihar,808212
Dr. Aamir Pathan,Endocrinologist,Pathan Healthcare Clinic,"285, Road Model, Delhi",Delhi,Delhi,112485,"175, Bazaar Shastri, Delhi",Delhi,Delhi,111438
Dr. Baljit Chahal,Psychiatrist,Chahal Healthcare Clinic,"124, Colony Fort, Surat",Surat,Gujarat,395118,"466, Enclave Lake, Surat",Surat,Gujarat,398883
Dr. Prakash Menon,Gastroenterologist,Menon Healthcare Clinic,"71, Road Hill, Ahmedabad",Ahmedabad,Gujarat,382215,"221, Colony Garden, Ahmedabad",Ahmedabad,Gujarat,382589
Dr. Farah Beg,Plastic Surgeon,Beg Healthcare Clinic,"95, Enclave Shastri, Chennai",Chennai,Tamil Nadu,600483,"392, Enclave Fort, Chennai",Chennai,Tamil Nadu,606737
Dr. Sana Pathan,Neurologist,Pathan Healthcare Clinic,"55, Colony Shastri, Ahmedabad",Ahmedabad,Gujarat,380429,"391, Road Garden, Ahmedabad",Ahmedabad,Gujarat,389290
Dr. Francis Almeida,Psychiatrist,Almeida Healthcare Clinic,"14, Enclave Gandhi, Pune",Pune,Maharashtra,417808,"69, Lane Central, Pune",Pune,Maharashtra,413014
Dr. Parminder Bajwa,Neurologist,Bajwa Healthcare Clinic,"99, Layout Rajiv, Hyderabad",Hyderabad,Telangana,506694,"392, Sector Green, Hyderabad",Hyderabad,Telangana,506767
Dr. Prakash Reddy,Orthopedic Surgeon,Reddy Healthcare Clinic,"225, Lane Central, Hyderabad",Hyderabad,Telangana,507496,"455, Layout Fort, Hyderabad",Hyderabad,Telangana,506633
Dr. Meena Tripathi,ENT Specialist,Tripathi Healthcare Clinic,"293, Sector Hill, Patna",Patna,Bihar,801791,"232, Lane Rajiv, Patna",Patna,Bihar,804025
Dr. Rebecca Rodrigues,Dermatologist,Rodrigues Healthcare Clinic,"265, Sector Model, Patna",Patna,Bihar,804770,"226, Bazaar Green, Patna",Patna,Bihar,804684
Dr. Manjit Dhillon,Oncologist,Dhillon Healthcare Clinic,"265, Colony Lake, Mumbai",Mumbai,Maharashtra,407400,"47, Nagar Shastri, Mumbai",Mumbai,Maharashtra,409591
Dr. Joseph Rodrigues,Rheumatologist,Rodrigues Healthcare Clinic,"231, Sector Shastri, Indore",Indore,Madhya Pradesh,457433,"303, Layout Lake, Indore",Indore,Madhya Pradesh,451477
Dr. Yusuf Ansari,Pediatrician,Ansari Healthcare Clinic,"59, Lane Central, Bengaluru",Bengaluru,Karnataka,561397,"269, Bazaar Hill, Bengaluru",Bengaluru,Karnataka,562619
Dr. Baljit Dhillon,Dermatologist,Dhillon Healthcare Clinic,"172, Colony Shastri, Hyderabad",Hyderabad,Telangana,502369,"92, Sector Fort, Hyderabad",Hyderabad,Telangana,505047
Dr. Sana Pathan,Gynecologist,Pathan Healthcare Clinic,"68, Layout Rajiv, Chennai",Chennai,Tamil Nadu,604146,"7, Lane Lake, Chennai",Chennai,Tamil Nadu,608169
Dr. Peter Almeida,Pulmonologist,Almeida Healthcare Clinic,"112, Lane Lake, Pune",Pune,Maharashtra,416719,"227, Nagar Garden, Pune",Pune,Maharashtra,419832
Dr. Pooja Dwivedi,Dentist,Dwivedi Healthcare Clinic,"26, Colony Shastri, Ahmedabad",Ahmedabad,Gujarat,380902,"335, Enclave Rajiv, Ahmedabad",Ahmedabad,Gujarat,382381
Dr. Meena Tiwari,Oncologist,Tiwari Healthcare Clinic,"45, Sector Gandhi, Indore",Indore,Madhya Pradesh,456831,"92, Colony Green, Indore",Indore,Madhya Pradesh,459747
Dr. Rebecca Gomes,Ophthalmologist,Gomes Healthcare Clinic,"19, Nagar Green, Bhopal",Bhopal,Madhya Pradesh,465289,"189, Bazaar Gandhi, Bhopal",Bhopal,Madhya Pradesh,467001
Dr. Mary Dias,Pulmonologist,Dias Healthcare Clinic,"63, Road Central, Kolkata",Kolkata,West Bengal,708635,"212, Layout Model, Kolkata",Kolkata,West Bengal,700953
Dr. Meena Dwivedi,Orthopedic Surgeon,Dwivedi Healthcare Clinic,"148, Bazaar Garden, Coimbatore",Coimbatore,Tamil Nadu,645185,"133, Enclave Shastri, Coimbatore",Coimbatore,Tamil Nadu,649218
Dr. Baljit Bajwa,Pulmonologist,Bajwa Healthcare Clinic,"120, Road Model, Hyderabad",Hyderabad,Telangana,500025,"61, Sector Lake, Hyderabad",Hyderabad,Telangana,501932
Dr. Meena Rangan,Rheumatologist,Rangan Healthcare Clinic,"171, Enclave Hill, Mumbai",Mumbai,Maharashtra,403478,"6, Layout Green, Mumbai",Mumbai,Maharashtra,404168
Dr. Vikram Joshi,Nephrologist,Joshi Healthcare Clinic,"4, Nagar Central, Indore",Indore,Madhya Pradesh,455592,"203, Sector Shastri, Indore",Indore,Madhya Pradesh,453178
Dr. Yusuf Chaudhary,Pulmonologist,Chaudhary Healthcare Clinic,"70, Lane Shastri, Mumbai",Mumbai,Maharashtra,407546,"457, Enclave Lake, Mumbai",Mumbai,Maharashtra,406782
Dr. Naveen Joshi,Gastroenterologist,Joshi Healthcare Clinic,"285, Sector Model, Indore",Indore,Madhya Pradesh,459460,"351, Enclave Central, Indore",Indore,Madhya Pradesh,451084
Dr. Lakshmi Iyer,ENT Specialist,Iyer Healthcare Clinic,"274, Colony Garden, Patna",Patna,Bihar,809923,"200, Colony Garden, Patna",Patna,Bihar,801914
Dr. Yusuf Khan,Dentist,Khan Healthcare Clinic,"45, Lane Model, Surat",Surat,Gujarat,396088,"232, Road Model, Surat",Surat,Gujarat,398603
Dr. Irfan Shaikh,Urologist,Shaikh Healthcare Clinic,"104, Nagar Lake, Mumbai",Mumbai,Maharashtra,408290,"13, Lane Hill, Mumbai",Mumbai,Maharashtra,402524
Dr. Ramesh Subramanian,Nephrologist,Subramanian Healthcare Clinic,"168, Colony Gandhi, Lucknow",Lucknow,Uttar Pradesh,228456,"347, Colony Model, Lucknow",Lucknow,Uttar Pradesh,220598
Dr. Navjot Pannu,Pediatrician,Pannu Healthcare Clinic,"160, Sector Garden, Delhi",Delhi,Delhi,111426,"171, Lane Rajiv, Delhi",Delhi,Delhi,111689
Dr. Teresa Fernandes,Gastroenterologist,Fernandes Healthcare Clinic,"108, Enclave Model, Lucknow",Lucknow,Uttar Pradesh,223154,"147, Road Hill, Lucknow",Lucknow,Uttar Pradesh,225228
Dr. Gurpreet Sidhu,Neurologist,Sidhu Healthcare Clinic,"141, Nagar Rajiv, Hyderabad",Hyderabad,Telangana,509168,"264, Nagar Model, Hyderabad",Hyderabad,Telangana,508888
Dr. Khalid Mirza,Dentist,Mirza Healthcare Clinic,"146, Layout Shastri, Kolkata",Kolkata,West Bengal,701167,"160, Enclave Hill, Kolkata",Kolkata,West Bengal,707268
Dr. Sunita Sharma,Pulmonologist,Sharma Healthcare Clinic,"55, Bazaar Rajiv, Mumbai",Mumbai,Maharashtra,401410,"219, Bazaar Shastri, Mumbai",Mumbai,Maharashtra,409766
Dr. Mathew Almeida,Urologist,Almeida Healthcare Clinic,"171, Layout Hill, Lucknow",Lucknow,Uttar Pradesh,221286,"499, Lane Garden, Lucknow",Lucknow,Uttar Pradesh,222159
Dr. Divya Mishra,Ophthalmologist,Mishra Healthcare Clinic,"239, Lane Model, Lucknow",Lucknow,Uttar Pradesh,223666,"74, Road Central, Lucknow",Lucknow,Uttar Pradesh,226423
Dr. Ramesh Pillai,Ophthalmologist,Pillai Healthcare Clinic,"16, Nagar Lake, Coimbatore",Coimbatore,Tamil Nadu,641849,"180, Lane Lake, Coimbatore",Coimbatore,Tamil Nadu,642798
Dr. Yusuf Dar,Gastroenterologist,Dar Healthcare Clinic,"261, Nagar Fort, Kolkata",Kolkata,West Bengal,701752,"167, Nagar Green, Kolkata",Kolkata,West Bengal,708728
Dr. Navjot Chahal,Rheumatologist,Chahal Healthcare Clinic,"125, Colony Lake, Pune",Pune,Maharashtra,416288,"34, Enclave Model, Pune",Pune,Maharashtra,419682
Dr. Navjot Chahal,ENT Specialist,Chahal Healthcare Clinic,"89, Nagar Garden, Pune",Pune,Maharashtra,417972,"59, Lane Central, Pune",Pune,Maharashtra,419094
Dr. Divya Saxena,Oncologist,Saxena Healthcare Clinic,"36, Nagar Garden, Patna",Patna,Bihar,806208,"168, Lane Rajiv, Patna",Patna,Bihar,801483
Dr. Kavita Murthy,Cardiologist,Murthy Healthcare Clinic,"77, Lane Hill, Kolkata",Kolkata,West Bengal,704775,"200, Lane Model, Kolkata",Kolkata,West Bengal,703369
Dr. Nadeem Dar,Oncologist,Dar Healthcare Clinic,"177, Nagar Garden, Surat",Surat,Gujarat,390133,"314, Bazaar Shastri, Surat",Surat,Gujarat,394819
Dr. Anjali Dwivedi,Dermatologist,Dwivedi Healthcare Clinic,"287, Enclave Gandhi, Delhi",Delhi,Delhi,114623,"444, Sector Model, Delhi",Delhi,Delhi,117073
Dr. Paul Lobo,Endocrinologist,Lobo Healthcare Clinic,"196, Bazaar Hill, Patna",Patna,Bihar,803460,"340, Colony Lake, Patna",Patna,Bihar,802278
Dr. Shankar Rangan,Urologist,Rangan Healthcare Clinic,"79, Road Shastri, Surat",Surat,Gujarat,392200,"6, Nagar Rajiv, Surat",Surat,Gujarat,392359
Dr. Navjot Gill,Orthopedic Surgeon,Gill Healthcare Clinic,"213, Lane Garden, Kolkata",Kolkata,West Bengal,706974,"320, Colony Lake, Kolkata",Kolkata,West Bengal,708346
Dr. Baljit Bajwa,Endocrinologist,Bajwa Healthcare Clinic,"116, Colony Fort, Bhopal",Bhopal,Madhya Pradesh,469905,"4, Lane Model, Bhopal",Bhopal,Madhya Pradesh,468220
Dr. Arshad Beg,Gastroenterologist,Beg Healthcare Clinic,"18, Sector Garden, Bhopal",Bhopal,Madhya Pradesh,467917,"361, Enclave Gandhi, Bhopal",Bhopal,Madhya Pradesh,469507
Dr. Gurpreet Gill,Nephrologist,Gill Healthcare Clinic,"239, Nagar Hill, Jaipur",Jaipur,Rajasthan,309995,"46, Layout Lake, Jaipur",Jaipur,Rajasthan,301279
Dr. Christopher Dias,Physiotherapist,Dias Healthcare Clinic,"176, Sector Lake, Mumbai",Mumbai,Maharashtra,407438,"263, Lane Garden, Mumbai",Mumbai,Maharashtra,405431
Dr. Jaspreet Sidhu,Oncologist,Sidhu Healthcare Clinic,"19, Road Garden, Hyderabad",Hyderabad,Telangana,504267,"32, Lane Garden, Hyderabad",Hyderabad,Telangana,502770
Dr. Peter Dias,Physiotherapist,Dias Healthcare Clinic,"147, Lane Gandhi, Delhi",Delhi,Delhi,112077,"259, Nagar Green, Delhi",Delhi,Delhi,114129
Dr. Meena Naidu,Dentist,Naidu Healthcare Clinic,"8, Nagar Garden, Jaipur",Jaipur,Rajasthan,302860,"466, Colony Lake, Jaipur",Jaipur,Rajasthan,306058
Dr. Lakshmi Reddy,Pulmonologist,Reddy Healthcare Clinic,"271, Sector Central, Hyderabad",Hyderabad,Telangana,501382,"496, Colony Garden, Hyderabad",Hyderabad,Telangana,502525
Dr. Navjot Dhillon,Psychiatrist,Dhillon Healthcare Clinic,"86, Layout Garden, Chandigarh",Chandigarh,Chandigarh,165653,"28, Road Gandhi, Chandigarh",Chandigarh,Chandigarh,160860
Dr. Deepa Rangan,Pulmonologist,Rangan Healthcare Clinic,"244, Layout Fort, Lucknow",Lucknow,Uttar Pradesh,226390,"243, Road Shastri, Lucknow",Lucknow,Uttar Pradesh,228690
Dr. Harpreet Sidhu,Ophthalmologist,Sidhu Healthcare Clinic,"162, Sector Gandhi, Patna",Patna,Bihar,808704,"327, Enclave Fort, Patna",Patna,Bihar,804466
Dr. Nadeem Pathan,Pediatrician,Pathan Healthcare Clinic,"300, Bazaar Lake, Jaipur",Jaipur,Rajasthan,303961,"376, Layout Hill, Jaipur",Jaipur,Rajasthan,305528
Dr. Ramesh Balakrishnan,Cardiologist,Balakrishnan Healthcare Clinic,"35, Sector Fort, Delhi",Delhi,Delhi,111600,"269, Nagar Lake, Delhi",Delhi,Delhi,115759
Dr. Lakshmi Naidu,General Physician,Naidu Healthcare Clinic,"13, Nagar Rajiv, Mumbai",Mumbai,Maharashtra,409734,"337, Layout Garden, Mumbai",Mumbai,Maharashtra,401995
Dr. Amit Tiwari,Neurologist,Tiwari Healthcare Clinic,"290, Colony Gandhi, Patna",Patna,Bihar,803018,"130, Road Lake, Patna",Patna,Bihar,801240
Dr. Amrit Dhillon,ENT Specialist,Dhillon Healthcare Clinic,"83, Nagar Green, Jaipur",Jaipur,Rajasthan,301022,"196, Bazaar Central, Jaipur",Jaipur,Rajasthan,300984
Dr. Nadeem Ansari,Ophthalmologist,Ansari Healthcare Clinic,"252, Layout Garden, Bengaluru",Bengaluru,Karnataka,566432,"92, Lane Gandhi, Bengaluru",Bengaluru,Karnataka,562357
Dr. Paul Carvalho,Physiotherapist,Carvalho Healthcare Clinic,"227, Road Gandhi, Chennai",Chennai,Tamil Nadu,600571,"38, Nagar Garden, Chennai",Chennai,Tamil Nadu,604105
Dr. Harpreet Bajwa,Neurologist,Bajwa Healthcare Clinic,"20, Bazaar Green, Delhi",Delhi,Delhi,112483,"359, Enclave Fort, Delhi",Delhi,Delhi,119414
Dr. Naveen Chaturvedi,Pulmonologist,Chaturvedi Healthcare Clinic,"207, Nagar Hill, Surat",Surat,Gujarat,393700,"2, Bazaar Lake, Surat",Surat,Gujarat,391985
Dr. Rebecca Lobo,ENT Specialist,Lobo Healthcare Clinic,"206, Sector Gandhi, Lucknow",Lucknow,Uttar Pradesh,225985,"274, Enclave Gandhi, Lucknow",Lucknow,Uttar Pradesh,227530
Dr. Shabana Ansari,Plastic Surgeon,Ansari Healthcare Clinic,"197, Layout Green, Mumbai",Mumbai,Maharashtra,406391,"459, Nagar Central, Mumbai",Mumbai,Maharashtra,407970
Dr. Divya Agarwal,Neurologist,Agarwal Healthcare Clinic,"99, Sector Garden, Mumbai",Mumbai,Maharashtra,403907,"251, Bazaar Gandhi, Mumbai",Mumbai,Maharashtra,408856
Dr. Sana Beg,Ophthalmologist,Beg Healthcare Clinic,"19, Enclave Rajiv, Delhi",Delhi,Delhi,115533,"404, Sector Fort, Delhi",Delhi,Delhi,111936
Dr. Shankar Subramanian,Plastic Surgeon,Subramanian Healthcare Clinic,"297, Layout Gandhi, Kolkata",Kolkata,West Bengal,700604,"377, Colony Lake, Kolkata",Kolkata,West Bengal,700312
Dr. Rajinder Singh,Psychiatrist,Singh Healthcare Clinic,"8, Colony Rajiv, Kolkata",Kolkata,West Bengal,705035,"421, Nagar Lake, Kolkata",Kolkata,West Bengal,702796
Dr. Mary D’Souza,Pediatrician,D’Souza Healthcare Clinic,"113, Nagar Model, Coimbatore",Coimbatore,Tamil Nadu,646983,"173, Bazaar Central, Coimbatore",Coimbatore,Tamil Nadu,641979
Dr. Rebecca Gomes,ENT Specialist,Gomes Healthcare Clinic,"24, Colony Central, Ahmedabad",Ahmedabad,Gujarat,381035,"62, Road Shastri, Ahmedabad",Ahmedabad,Gujarat,386801
Dr. Ramesh Balakrishnan,Gynecologist,Balakrishnan Healthcare Clinic,"125, Sector Shastri, Chandigarh",Chandigarh,Chandigarh,161637,"406, Bazaar Shastri, Chandigarh",Chandigarh,Chandigarh,160256
Dr. Gurpreet Singh,Cardiologist,Singh Healthcare Clinic,"46, Road Fort, Hyderabad",Hyderabad,Telangana,507798,"355, Colony Model, Hyderabad",Hyderabad,Telangana,502344
Dr. Khalid Chaudhary,Rheumatologist,Chaudhary Healthcare Clinic,"90, Sector Garden, Pune",Pune,Maharashtra,412949,"368, Lane Garden, Pune",Pune,Maharashtra,411442
Dr. Yusuf Syed,Cardiologist,Syed Healthcare Clinic,"99, Nagar Hill, Pune",Pune,Maharashtra,411567,"317, Enclave Hill, Pune",Pune,Maharashtra,418315
Dr. Deepa Reddy,Dentist,Reddy Healthcare Clinic,"100, Nagar Shastri, Mumbai",Mumbai,Maharashtra,407772,"255, Colony Shastri, Mumbai",Mumbai,Maharashtra,400706
Dr. Anjali Joshi,General Physician,Joshi Healthcare Clinic,"129, Enclave Garden, Surat",Surat,Gujarat,397424,"23, Nagar Rajiv, Surat",Surat,Gujarat,398804
Dr. Kavita Iyer,Pulmonologist,Iyer Healthcare Clinic,"60, Nagar Model, Kochi",Kochi,Kerala,687287,"304, Enclave Fort, Kochi",Kochi,Kerala,683256
Dr. Shabana Shaikh,ENT Specialist,Shaikh Healthcare Clinic,"51, Layout Fort, Pune",Pune,Maharashtra,413276,"193, Layout Gandhi, Pune",Pune,Maharashtra,417716
Dr. Mathew Fernandes,Rheumatologist,Fernandes Healthcare Clinic,"111, Lane Shastri, Kolkata",Kolkata,West Bengal,706346,"192, Colony Lake, Kolkata",Kolkata,West Bengal,703181
